Maximum,Minimum,Average,Stdev,Skew,QThreshold
65000,0,8359.091870118185,3203.2845254896915,4.080247448270712,25000
65000,0,9211.791866028709,3165.0373219253115,2.386595236812479,24000
65000,0,17395.898484848483,5635.726039252199,2.722243965539885,40000
65000,0,21561.722307692307,10308.975689028932,2.1954427627820743,47000
65000,0,16370.056883640553,6345.705241740545,1.550058517116341,45000
65000,0,7939.780006543165,3053.6638713350976,2.7138245394345017,26000
65000,0,19720.947245753217,5628.695333487836,1.3972168876770343,46000
65000,0,7797.5861857440805,2877.217848351087,5.96911319295972,30000
65000,0,27764.09385504908,7349.19334937749,0.4693243759102302,47000
65000,0,15920.248310314428,6216.052450616476,2.4438282713228188,42000
65000,0,16881.844470046082,6563.357586954415,1.9054003781452902,47000
65000,0,15428.251101968852,5596.564549416376,2.6908868633000176,46000
65000,0,20598.80982142857,9036.020055356032,1.5900153954119236,48000
64999,0,3136.4881803188564,6252.078987958935,2.767423988931333,39000
65000,0,11695.699462365592,6264.786996928262,2.9012146282909446,30000
64999,0,17928.305587121213,5381.704101373608,1.6980965544920705,39000
65000,0,22206.59441287879,6480.6721694135995,1.2321635440065466,39000
65000,0,20477.232430875578,7219.940822768725,0.6309492216563083,43000
65000,0,20428.2241025641,9184.66252898366,1.6535363794752338,42000
65000,0,9954.34482142857,5854.4712118045445,4.73384822105012,34000
65000,0,4103.5480248174035,7831.132427676738,2.0261867818540584,40000
65000,0,3667.606298594204,7190.203384635951,2.4108182925606543,44000
65000,0,19236.803370534715,6391.611951807942,3.1532003700719993,60000
65000,0,17452.433143939394,5300.909462499919,2.059723839839883,49000
65000,0,22264.40282051282,10459.825696961329,2.110959784015867,63000
65000,0,16423.590655304142,6163.572912153082,2.6525285941840826,49000
65000,0,11936.444158181,4189.582212493437,2.40392138995444,27000
65000,0,15838.13090437788,6349.4137076033,1.3439194711466278,50000
65000,0,3708.6918243933087,7220.839012852604,2.2675751783575966,48000
65000,0,9117.833214285714,5821.932742781236,5.203962518697347,36000
65000,0,10685.74875,6856.868922832721,4.1118974459813575,36000
64999,0,16227.574596774193,6665.421985711297,1.8624965241515585,43000
65000,0,19212.692797274885,6378.596485416678,3.177438636075001,53000
65000,0,12261.436559139785,7802.245036006575,3.6162700300517003,32000
65000,0,13857.798413164855,5359.04947774698,3.1675941168164283,42000
65000,0,13328.438142815163,5247.546292048914,3.644619368886411,39000
65000,0,17798.002880184333,6710.2063086379685,0.7014572186595038,40000
65000,0,16672.668202764977,6530.353283596086,1.8598494070941851,43000
65000,0,10539.733713654767,4118.1588866549755,2.14375993970438,25000
65000,0,25682.07816771996,6892.662731972036,0.4320075921686075,45000
64999,0,21936.466301843317,7555.741527586722,0.5358986303462676,44000
65000,0,13619.947204301076,6046.123093986982,1.8835617442146797,36000
65000,0,11878.967096774193,6522.003515807677,2.992200418578219,33000
65000,0,4943.8915416633945,9298.375850800601,1.8305218066769307,41000
65000,0,25607.436959347408,7129.879476639133,0.6284219278737576,45000
65000,0,5343.731720725674,9875.423101313196,1.6779960530248352,42000
65000,0,20741.583076923078,8687.989477494028,1.493893417886505,39000
65000,0,3702.7341720629047,3271.8430569847055,9.524586650127583,25000
65000,0,25704.720075757577,7464.587747137186,0.8835020236742719,45000
65000,0,16020.071284562211,6527.2432916757525,0.76661618134116,35000
65000,0,4903.758265923192,9165.18978851043,1.7762156057990293,38000
65000,0,38094.893231516835,5156.666454705101,-4.7524690225433055,45000
