Frame number , x1, y1, x2, y2, length
1,103.07394866637334,8.12801603513364,93.14333589534338,19.370032313003627,15.000000000001233
2,106.06610990303996,13.198380259019187,96.18032335187,14.705438408069194,9.999999999995541
3,108.15142217143395,13.11484317718418,95.20304565212192,14.27223054278747,12.999999999997284
4,95.77390296026547,15.017630610209704,111.76632291938554,14.525183810017705,16.3659205664
5,95.34105685420043,14.652723364999652,111.34070255304853,14.54624561529949,15.6110650816
6,99.57084232642177,14.259593215790126,116.57077771343367,14.212722786502198,17.366549467
7,96.04269955001071,14.023113012556077,115.01048700524368,15.129023973249577,18.7395498287
9,95.02905304803909,17.534605303312404,119.02777664862293,17.28708653080524,24.2737815939
10,118.11300463099255,18.83542021759996,94.44869971123248,14.835336135367982,24.000000000006384
11,91.60511971098519,16.1011396902523,120.44217010750921,19.171078521697314,28.5760511056
12,91.8591262925451,15.53901459599902,119.5590284224729,19.627464423586993,28.6355426041
13,90.72030208427185,17.218334801427,120.66607324238169,19.021329461853053,30.8065998924
14,121.37036776984523,20.916568979711617,93.78411987112507,16.12084933925158,27.999999999991726
15,95.08114510479281,15.314002381878474,126.97060352784592,23.802962358441455,32.7350342754
16,91.89738754357506,15.359712802168666,126.03494679142997,23.08156805852864,35.4144517279
17,126.84370981230137,23.957393985456257,109.46245386340925,19.27851146514626,17.999999999993335
18,89.12975144438778,16.042944000181304,125.79290016762158,26.033615934493287,38.6854538655
19,87.17068448624437,19.35046828816601,124.9473401516241,23.46438208631604,38.2240837602
20,87.25471433399247,20.850908667868584,122.23047020982261,22.153406619368088,35.2736818895
21,90.13773446688171,22.568905957071124,123.12801315874653,21.76796161832058,32.4771127197
22,91.95775725311844,27.71803554674947,121.54219466029248,18.457308615205452,31.1224882983
23,89.18089637573487,30.817460461661,121.23524059056706,19.480837641972975,34.1423008265
24,89.28756667935059,31.149225320911146,121.2627564206256,22.989124769440117,32.840229357
25,88.60103736142409,32.70216137821902,118.63482456474506,19.02840453431801,32.6528254924
26,82.21197932978215,38.23533069778715,115.41030061988202,19.745564243865104,38.1091424725
27,117.22051724484714,18.525004508025923,84.00154853676696,40.807287110385865,39.99999999999804
28,117.79344420834505,17.649951926622844,81.65327286607604,40.94990933756179,43.00000000000153
29,122.6865219258662,18.533153953359594,80.26371230550401,38.76444713777851,46.99999999999372
30,128.10125280694737,22.47882063563714,75.12895136569918,40.64294131394922,55.99999999998884
31,134.68754387347897,21.786118880396227,75.39597683891306,36.121741593833185,60.99999999997076
32,140.83971498830422,22.34775466718769,83.28472036038832,35.32552771885474,59.000000000000036
33,147.93539424495785,22.98962260318318,66.30611813573367,38.01164916034228,82.9999999999997
34,148.0176820570234,25.022019117306275,64.8614104413758,36.897813448266184,84.00000000003939
35,154.25008313047178,25.322343251881026,59.01269293063196,37.39874619012091,96.00000000001705
36,161.05617793810538,23.77328751545583,53.82016929766516,36.596643194287736,107.9999999999926
37,162.46789699437224,24.438604327637382,54.111391301654876,36.26517078035956,108.99999999998414
38,170.08821477630184,24.13173489141415,48.64495022058426,35.773620221357376,121.99999999994081
39,174.0878343562144,23.5941435253983,45.81232497987999,37.246751123610316,128.99999999995663
40,178.94027725405468,24.443350235012215,39.66831552809489,38.70240620001209,140.00000000003644
41,180.7717186444074,23.696272319617638,40.70329578653343,39.877647974605615,140.99999999992917
42,164.7115331868619,24.185958900966188,69.19426873316581,33.80116515351025,95.99999999998062
43,185.11953013402317,21.885583470675144,38.09413956175195,38.84242654578303,148.00000000000924
44,188.40005028700205,24.078674400744834,30.139402582326397,39.39426737296261,158.99999999998147
45,178.08289262431103,25.027171738042842,30.580768793619725,37.156617951352885,148.00000000002083
46,189.26387442621643,23.425523956723012,25.101731293537085,40.0324731668379,164.99999999994435
47,198.6042447692665,22.961412647275683,24.239728952166615,37.86160136611062,174.99999999996734
48,193.9541245163495,25.164420857883695,23.759028728274387,41.73636611769606,171.00000000001836
49,195.29273591647308,25.088130593567172,121.54837830366864,31.23383806125502,74.0000000000242
50,202.56111143053698,28.366429428925482,21.817647768129262,37.99972291158587,181.0000000000198
